Zip,Year,violent_crimes,property_crimes
20001,2001,28,89
20001,2002,26,83
20001,2003,26,81
20001,2004,20,71
20001,2005,20,63
20001,2006,21,67
20001,2007,21,69
20001,2008,18,69
20001,2009,18,62
20001,2010,17,51
20001,2011,17,60
20001,2012,16,77
20001,2013,15,74
20001,2014,13,89
20001,2015,14,84
20002,2001,25,72
20002,2002,23,66
20002,2003,26,73
20002,2004,22,80
20002,2005,22,66
20002,2006,21,63
20002,2007,21,67
20002,2008,20,60
20002,2009,18,57
20002,2010,16,51
20002,2011,16,57
20002,2012,17,67
20002,2013,14,68
20002,2014,15,73
20002,2015,16,66
20003,2001,18,87
20003,2002,19,68
20003,2003,17,56
20003,2004,12,51
20003,2005,12,46
20003,2006,10,42
20003,2007,11,46
20003,2008,11,49
20003,2009,11,49
20003,2010,8.4,40
20003,2011,6.5,42
20003,2012,8,50
20003,2013,7,57
20003,2014,6.5,60
20003,2015,8.4,60
20004,2001,68,646
20004,2002,38,420
20004,2003,30,319
20004,2004,29,199
20004,2005,24,239
20004,2006,22,201
20004,2007,24,196
20004,2008,20,183
20004,2009,19,169
20004,2010,22,176
20004,2011,27,224
20004,2012,17,204
20004,2013,12,160
20004,2014,12,189
20004,2015,13,168
20005,2001,22,125
20005,2002,16,130
20005,2003,17,100
20005,2004,14,88
20005,2005,14,72
20005,2006,14,77
20005,2007,11,78
20005,2008,13,84
20005,2009,8.7,80
20005,2010,9.3,57
20005,2011,9.3,62
20005,2012,10,80
20005,2013,7.9,70
20005,2014,6.9,88
20005,2015,7.3,77
20006,2001,13,214
20006,2002,11,196
20006,2003,9.5,156
20006,2004,13,101
20006,2005,5.3,108
20006,2006,14,78
20006,2007,7.8,76
20006,2008,11,77
20006,2009,8.4,87
20006,2010,8.5,85
20006,2011,14,87
20006,2012,5.2,65
20006,2013,5.2,69
20006,2014,3.7,89
20006,2015,6.7,81
20007,2001,5.4,46
20007,2002,5.3,38
20007,2003,4.7,40
20007,2004,4.3,37
20007,2005,3.8,39
20007,2006,3.9,36
20007,2007,4.9,38
20007,2008,3.3,41
20007,2009,3.3,40
20007,2010,4.1,38
20007,2011,3.4,37
20007,2012,2.3,39
20007,2013,2.1,39
20007,2014,2.2,44
20007,2015,1.8,44
20008,2001,4.4,31
20008,2002,4.2,30
20008,2003,3,35
20008,2004,2.8,28
20008,2005,2.6,23
20008,2006,2.2,22
20008,2007,2.2,23
20008,2008,2.1,25
20008,2009,2.4,26
20008,2010,2.2,21
20008,2011,1.8,23
20008,2012,2.3,23
20008,2013,1.6,21
20008,2014,1.7,23
20008,2015,1.5,25
20009,2001,15,57
20009,2002,16,60
20009,2003,16,59
20009,2004,14,48
20009,2005,14,46
20009,2006,14,53
20009,2007,13,52
20009,2008,13,49
20009,2009,11,49
20009,2010,10,43
20009,2011,12,49
20009,2012,10,53
20009,2013,9.7,53
20009,2014,6.6,59
20009,2015,7.6,52
20010,2001,13,45
20010,2002,18,52
20010,2003,22,48
20010,2004,18,43
20010,2005,17,36
20010,2006,18,46
20010,2007,19,45
20010,2008,19,46
20010,2009,17,51
20010,2010,15,50
20010,2011,14,52
20010,2012,12,57
20010,2013,14,65
20010,2014,8.7,67
20010,2015,11,67
20011,2001,8.6,37
20011,2002,11,44
20011,2003,14,38
20011,2004,12,34
20011,2005,11,32
20011,2006,11,28
20011,2007,14,31
20011,2008,12,29
20011,2009,12,28
20011,2010,11,28
20011,2011,8.1,28
20011,2012,10,30
20011,2013,9.5,34
20011,2014,9.1,40
20011,2015,9.4,37
20012,2001,7.2,49
20012,2002,9.6,47
20012,2003,12,47
20012,2004,11,41
20012,2005,8.7,39
20012,2006,9.4,30
20012,2007,12,36
20012,2008,9.7,38
20012,2009,9.6,38
20012,2010,6.8,38
20012,2011,6.3,39
20012,2012,6.8,40
20012,2013,7.4,40
20012,2014,5.2,58
20012,2015,5.8,49
20015,2001,3.7,28
20015,2002,2.3,27
20015,2003,2.7,32
20015,2004,2.7,27
20015,2005,1.7,24
20015,2006,1.8,19
20015,2007,1.5,24
20015,2008,1.4,24
20015,2009,1.3,31
20015,2010,1.2,25
20015,2011,1.9,24
20015,2012,1,26
20015,2013,0.6,34
20015,2014,1.6,31
20015,2015,1,28
20016,2001,2.4,27
20016,2002,2.1,24
20016,2003,1.3,24
20016,2004,1.4,22
20016,2005,1.5,21
20016,2006,1.7,17
20016,2007,1.7,20
20016,2008,1.5,23
20016,2009,1.5,23
20016,2010,1.6,22
20016,2011,1.2,20
20016,2012,1.2,21
20016,2013,0.9,25
20016,2014,1.1,22
20016,2015,1.2,23
20017,2001,11,47
20017,2002,10,43
20017,2003,10,41
20017,2004,9.6,37
20017,2005,14,41
20017,2006,13,34
20017,2007,12,30
20017,2008,8.8,31
20017,2009,8.9,32
20017,2010,8.2,33
20017,2011,7.4,37
20017,2012,9.6,39
20017,2013,8.7,37
20017,2014,7.6,55
20017,2015,7.7,47
20018,2001,15,63
20018,2002,16,58
20018,2003,18,66
20018,2004,15,63
20018,2005,18,59
20018,2006,16,51
20018,2007,15,52
20018,2008,15,49
20018,2009,12,47
20018,2010,11,51
20018,2011,14,54
20018,2012,15,62
20018,2013,13,74
20018,2014,12,83
20018,2015,14,81
20019,2001,21,49
20019,2002,20,52
20019,2003,20,65
20019,2004,18,47
20019,2005,19,37
20019,2006,16,36
20019,2007,17,46
20019,2008,19,54
20019,2009,20,45
20019,2010,20,45
20019,2011,19,45
20019,2012,18,44
20019,2013,23,45
20019,2014,23,54
20019,2015,19,47
20020,2001,21,44
20020,2002,21,46
20020,2003,20,50
20020,2004,18,40
20020,2005,18,35
20020,2006,19,33
20020,2007,20,43
20020,2008,18,39
20020,2009,16,41
20020,2010,18,37
20020,2011,17,38
20020,2012,21,45
20020,2013,19,45
20020,2014,17,45
20020,2015,16,43
20024,2001,15,69
20024,2002,14,56
20024,2003,15,48
20024,2004,13,43
20024,2005,13,46
20024,2006,16,51
20024,2007,17,44
20024,2008,13,39
20024,2009,10,35
20024,2010,9.6,34
20024,2011,11,37
20024,2012,8.1,42
20024,2013,8.6,43
20024,2014,6.7,41
20024,2015,8.1,42
20032,2001,25,43
20032,2002,25,44
20032,2003,25,42
20032,2004,20,38
20032,2005,20,37
20032,2006,19,40
20032,2007,24,48
20032,2008,23,49
20032,2009,23,46
20032,2010,21,46
20032,2011,22,42
20032,2012,20,37
20032,2013,21,40
20032,2014,17,36
20032,2015,17,34
20036,2001,32,346
20036,2002,29,300
20036,2003,33,260
20036,2004,29,209
20036,2005,25,223
20036,2006,26,172
20036,2007,23,188
20036,2008,23,222
20036,2009,18,198
20036,2010,23,180
20036,2011,28,188
20036,2012,21,215
20036,2013,16,187
20036,2014,14,196
20036,2015,15,217
20037,2001,7,48
20037,2002,6,49
20037,2003,5.9,43
20037,2004,3.9,37
20037,2005,3.4,32
20037,2006,2.5,32
20037,2007,3.2,30
20037,2008,3.5,33
20037,2009,4.4,28
20037,2010,3.3,23
20037,2011,3.8,30
20037,2012,3.8,28
20037,2013,1.9,27
20037,2014,2.7,32
20037,2015,2.7,36
20052,2001,1.6,21
20052,2002,1.6,30
20052,2003,0.8,31
20052,2004,4,26
20052,2005,0.8,38
20052,2006,0.8,21
20052,2007,0,15
20052,2008,0,14
20052,2009,1.6,12
20052,2010,1.6,13
20052,2011,3.1,10
20052,2012,0,18
20052,2013,0.8,17
20052,2014,0.8,25
20052,2015,0.8,30
20057,2001,1.1,20
20057,2002,0.9,15
20057,2003,0.7,10
20057,2004,1.7,18
20057,2005,1.2,17
20057,2006,2.4,13
20057,2007,1,11
20057,2008,0,8.5
20057,2009,0.3,8.4
20057,2010,0.8,12
20057,2011,0.8,17
20057,2012,0.3,12
20057,2013,0.3,9.5
20057,2014,0.5,8.7
20057,2015,0.5,8
20059,2001,74,259
20059,2002,42,222
20059,2003,29,276
20059,2004,40,220
20059,2005,77,205
20059,2006,86,178
20059,2007,39,147
20059,2008,73,214
20059,2009,48,181
20059,2010,39,134
20059,2011,33,121
20059,2012,23,170
20059,2013,20,147
20059,2014,20,203
20059,2015,23,134
20064,2001,7.7,44
20064,2002,4,43
20064,2003,10,49
20064,2004,3.7,50
20064,2005,9.2,57
20064,2006,8.1,30
20064,2007,4.4,29
20064,2008,3.9,27
20064,2009,3.8,21
20064,2010,3.8,21
20064,2011,1.4,14
20064,2012,3.5,30
20064,2013,1.1,27
20064,2014,4.1,31
20064,2015,2.7,25
20332,2001,2.8,2.8
20332,2002,1.3,2.6
20332,2003,1.2,11
20332,2004,4.7,8.1
20332,2005,3.3,11
20332,2006,1.1,14
20332,2007,0,2
20332,2008,0,2.9
20332,2009,0.9,1.8
20332,2010,0,2.6
20332,2011,0,1.8
20332,2012,4.4,1.8
20332,2013,0.9,3.5
20332,2014,0,1.8
20332,2015,0.9,2.6
20336,2001,0,0
20336,2002,0,0.5
20336,2003,0.3,0.8
20336,2004,0.3,1.4
20336,2005,0,1.2
20336,2006,0,1.4
20336,2007,0.4,2.6
20336,2008,0,0.4
20336,2009,0,1.4
20336,2010,0,1.1
20336,2011,0,0.5
20336,2012,0,0
20336,2013,0,0.5
20336,2014,0,0.5
20336,2015,0,1.1
